buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,2,7,37,3.54181,6,1868,72.49,0,3,186.03,1.19,81,57.77,62
clean,clean,clean,clean,1,2,2,0.05129,49,124,177.5,0,3,0.01,12,82,58.77,35
clean,clean,clean,clean,2,3,4,0.461123,164,5,104,0,3,0.26,8,83,59.76,61
clean,clean,clean,clean,5,8,9,1.95568,231,23,123.67,0,4,95.33,4.56,84,60.64,92
clean,clean,clean,clean,3,3,3,1.03931,50,17,216,0,3,0.01,10,85,61.64,69
clean,clean,clean,clean,2,5,5,1.49269,45,22,318.2,0,2,30.27,7,118,86.39,131
clean,clean,clean,clean,3,4,5,1.83072,59,13,77.6,0,3,0.74,3.4,86,62.52,34
clean,clean,clean,clean,5,5,5,1.20427,148,127,181.2,0,3,0.38,7.8,87,63.52,103
clean,clean,clean,clean,5,5,5,2.32193,5,5,185.4,0,3,0,8,88,64.52,108
clean,clean,clean,clean,5,5,5,2.32193,5,5,185.4,0,3,0.01,8.2,89,65.52,113
clean,clean,clean,clean,4,4,4,2,4,0,198,0,3,0,10.5,90,66.52,112
clean,clean,clean,clean,5,5,5,2.19201,8,5,186.2,0,3,0,8.6,91,67.52,122
clean,clean,clean,clean,3,3,3,1.5,4,4,109.33,0,3,0,11.67,92,68.52,76
clean,clean,clean,clean,1,1,1,0,9,0,138,0,1,0.02,4,93,69.51,7
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,94,70.51,0
clean,clean,clean,clean,4,4,4,1.89346,45,32,199,0,3,0.02,11.25,95,71.51,123
clean,clean,clean,clean,1,1,1,0,1,0,147,0,1,0.01,5,96,72.51,8
clean,clean,clean,clean,4,4,4,2,4,4,202.25,0,3,0.01,11.5,97,73.51,127
clean,clean,clean,clean,4,4,4,2,4,4,202.25,0,3,0,11.75,98,74.51,131
clean,clean,clean,clean,4,4,4,2,4,4,202.25,0,3,0,12,99,75.51,135
clean,clean,clean,clean,1,1,1,0,1,1,148,0,1,0.01,6,100,76.51,9
clean,clean,clean,clean,4,4,4,2,12,12,202.25,0,3,0,12.25,101,77.51,139
clean,clean,clean,clean,4,4,4,2,12,12,202.25,0,3,0,12.5,102,78.51,143
